"Position","Promotion","Discount Offer","Restaurant Name","Rating","Cuisines","Cost for Two","Location","Distance","Restaurant URL","Image URL","Zomato Gold Image"
106,,"Flat 15% OFF","Vasai Local Restaurant",4.1,"Seafood, Indian, Street Food, Maharashtrian","AED 125 for two","Al Karama, Dubai","15.8 km","https://www.zomato.com/dubai/vasai-local-restaurant-al-karama/info","https://b.zmtcdn.com/data/pictures/7/19041407/307116449e35095a220e98e67d82fa30_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
107,,,"Royal Desi Rasoi Restaurant",4,"Indian, North Indian, South Indian, Indo-Chinese, Continental","AED 80 for two","Al Muraqqabat, Dubai","18.4 km","https://www.zomato.com/dubai/royal-desi-rasoi-restaurant-al-muraqqabat/info","https://b.zmtcdn.com/data/pictures/8/21341578/7b55087314743c27b42e13be40cc8cab_featured_v2.jpg",
108,,"Flat 15% OFF","Biryaniwalla & Co",4.4,"Biryani, Hyderabadi, North Indian","AED 135 for two","Abu Hail, Dubai","21.3 km","https://www.zomato.com/dubai/biryaniwalla-co-abu-hail/info","https://b.zmtcdn.com/data/pictures/chains/3/18820043/c11d8af145976f953e75c6d63127bc01_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
109,,"Flat 15% OFF","Carluccio's",4,"Italian, Pizza, Pasta","AED 270 for two","Dubai Mall, Downtown Dubai, Dubai","9.1 km","https://www.zomato.com/dubai/carluccios-downtown-dubai/info","https://b.zmtcdn.com/data/pictures/chains/1/200721/af1c201ec287ac7ba157a2659abffe49_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
110,,,"Social House",4.2,"International, Japanese, Italian, Pizza","AED 275 for two","Dubai Mall, Downtown Dubai, Dubai","9.1 km","https://www.zomato.com/dubai/social-house-downtown-dubai/info","https://b.zmtcdn.com/data/pictures/3/201103/9f020492daa99911f478c03e4e7affb5_featured_v2.jpg",
111,,"Flat 10% OFF","Maisan 15",4.9,"Cafe","AED 160 for two","Al Barsha South, Dubai","5.6 km","https://www.zomato.com/dubai/maisan-15-1-al-barsha-south/info","https://b.zmtcdn.com/data/pictures/4/18598304/2a85809895bec5bf772b587c764c6dc6_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
112,,"Flat 40% OFF","Feta Restaurant - Edge Creekside Hotel",3.8,"Mediterranean","AED 200 for two","Edge Creekside Hotel, Baniyas, Dubai","17.4 km","https://www.zomato.com/dubai/feta-restaurant-edge-creekside-hotel-baniyas/info","https://b.zmtcdn.com/data/pictures/5/19625115/283bfa3e8c1b9a465b1122c566f7da27_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
113,,"Flat 20% OFF","Lemar Afghan Cuisine",3.8,"Afghan","AED 225 for two","Umm Suqeim, Dubai","4.1 km","https://www.zomato.com/dubai/lemar-afghan-cuisine-umm-suqeim/info","https://b.zmtcdn.com/data/pictures/2/20562272/dbbf2814febb96e2a03913da9b2b772b_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
114,,"Flat 10% OFF","H2O Cafe And Restaurant",4.4,"Indian, Burger, Desserts, Beverages","AED 90 for two","Al Karama, Dubai","14.3 km","https://www.zomato.com/dubai/h2o-cafe-and-restaurant-al-karama/info","https://b.zmtcdn.com/data/pictures/7/20374847/fc80391026e81c3bb6af95d8e9fb0d97_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
115,,,"Dindigul Thalappakatti Biriyani",4,"Indian, South Indian, Biryani","AED 90 for two","Al Karama, Dubai","14.9 km","https://www.zomato.com/dubai/dindigul-thalappakatti-biriyani-al-karama/info","https://b.zmtcdn.com/data/pictures/6/18349376/8f2f3ae4f48e935a3e078396b20cfe23_featured_v2.jpg",
116,,,"Barasti - Le Méridien Mina Seyahi Beach Resort & Marina",4.3,"Continental, Mediterranean","AED 470 for two","Le Méridien Mina Seyahi Beach Resort & Marina, Dubai Marina, Dubai","9 km","https://www.zomato.com/dubai/barasti-le-mridien-mina-seyahi-beach-resort-marina-dubai-marina/info","https://b.zmtcdn.com/data/pictures/0/201560/b82cbff7b879f8c2b5ffcbf60e3deba5_featured_v2.jpg",
117,,"Flat 10% OFF","Shanghai Kitchen",4.2,"Asian, Filipino, Indo-Chinese","AED 100 for two","Al Satwa, Dubai","13.3 km","https://www.zomato.com/dubai/shanghai-kitchen-al-satwa/info","https://b.zmtcdn.com/data/pictures/5/203045/8057cac156172e850d366716b135cb3d_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
118,,"Flat 20% OFF","Mara Restaurant & Lounge",4.4,"International, Fast Food, Desserts, Cafe","AED 305 for two","Wasl 51, Jumeirah 1, Dubai","10.6 km","https://www.zomato.com/dubai/mara-restaurant-lounge-jumeirah-1/info","https://b.zmtcdn.com/data/pictures/6/19158016/1cb7d1aa80e817a898baad3ae61c79c1_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
119,,,"The Guild",3.9,"European, American","AED 475 for two","DIFC, Dubai","10.7 km","https://www.zomato.com/dubai/the-guild-1-difc/info","https://b.zmtcdn.com/data/pictures/9/20613379/c4eabc57f83ae6c9480fea66c5b6e943_featured_v2.jpg",
120,,,"Romantic Baka",4.2,"Korean","AED 105 for two","Al Ghurair Centre, Al Rigga, Dubai","17.9 km","https://www.zomato.com/dubai/romantic-baka-al-rigga/info","https://b.zmtcdn.com/data/pictures/6/20041746/3d573df2f675772a2079ed0a001208dd_featured_v2.jpg",
121,,,"Al Beiruti",4.3,"Lebanese, Grill, Beverages, Shawarma","AED 200 for two","Al Safa, Dubai","1.9 km","https://www.zomato.com/dubai/al-beiruti-al-safa/info","https://b.zmtcdn.com/data/pictures/9/19485439/3b37d780516dbdca5374fd0a9d7b8974_featured_v2.jpg",
122,,"Flat 15% OFF","Sundowners - Majestic City Retreat Hotel",4.5,"Finger Food, International, North Indian","AED 360 for two","Majestic City Retreat Hotel, Mankhool, Dubai","15.5 km","https://www.zomato.com/dubai/sundowners-majestic-city-retreat-hotel-mankhool/info","https://b.zmtcdn.com/data/pictures/1/18613591/1ccb0698c8457c616a2863cfc61f8249_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
123,,,"February 30",3.9,"International","AED 500 for two","Palm Jumeirah, Dubai","8.8 km","https://www.zomato.com/dubai/february-30-palm-jumeirah/info","https://b.zmtcdn.com/data/pictures/6/19845146/6b2626a2ed72d228f93be707577093c4_featured_v2.jpg",
124,,,"Rang",3.3,"North Indian, Indian","AED 250 for two","Dubai Mall, Downtown Dubai, Dubai","9.1 km","https://www.zomato.com/dubai/rang-downtown-dubai/info","https://b.zmtcdn.com/data/pictures/chains/6/20906826/d91a0e7a806d1d31bd54fa583035ce90_featured_v2.jpg",
125,,"Flat 10% OFF","FiLLi Select",4.5,"Cafe, Indian, Biryani, North Indian, Beverages, Tea, Coffee","AED 150 for two","City Walk, Al Safa, Dubai","9.5 km","https://www.zomato.com/dubai/filli-select-al-safa/info","https://b.zmtcdn.com/data/pictures/chains/3/18735363/50d6fbb4c34b7ee5de1dfb152440c33c_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
126,,,"Al Rayyan Mandi Restaurant",3.9,"Mandi","AED 135 for two","Al Rigga, Dubai","17.6 km","https://www.zomato.com/dubai/al-rayyan-mandi-restaurant-al-rigga/info","https://b.zmtcdn.com/data/pictures/4/19102994/f847739dca1f0f10cc7e655c530c7343_featured_v2.jpg",
127,,"Flat 20% OFF","Palm Kitchen - Taj Exotica Resort & Spa",4.1,"Indian, Arabian, Thai, Seafood, International, Desserts","AED 355 for two","Taj Exotica Resort & Spa, Palm Jumeirah, Dubai","7.3 km","https://www.zomato.com/dubai/palm-kitchen-taj-exotica-resort-spa-palm-jumeirah/info","https://b.zmtcdn.com/data/pictures/3/20189433/ccc1fd91a5ecd66f76a48d95673ab0e0_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
128,,,"Virpur Restaurant",4.2,"Street Food, Indian, Fast Food, South Indian","AED 45 for two","Al Ras, Dubai","17.3 km","https://www.zomato.com/dubai/virpur-restaurant-al-ras/info","https://b.zmtcdn.com/data/pictures/5/18670385/861a9576baab307f6cdaad67ec30cc23_featured_v2.jpg",
129,,,"HuQQabaz",2.8,"Turkish, European, Cafe","AED 190 for two","Jumeirah 2, Dubai","8.7 km","https://www.zomato.com/dubai/huqqabaz-jumeirah-2/info","https://b.zmtcdn.com/data/pictures/9/19857659/5ef05115d310cbc16b78796dd71b2e49_featured_v2.jpg",
130,,,"Urban Tadka",3.5,"North Indian, South Indian, Indo-Chinese, Street Food, Desserts, Beverages","AED 105 for two","Discovery Gardens, Dubai","13.1 km","https://www.zomato.com/dubai/urban-tadka-discovery-gardens/info","https://b.zmtcdn.com/data/pictures/chains/7/201737/8134866ef6b3880d4ea40bee373f0010_featured_v2.jpg",
131,,,"Khairat Lebanon",4.2,"Lebanese, Middle Eastern, Arabian, Desserts, Beverages, Shawarma","AED 80 for two","Umm Suqeim, Dubai","3.9 km","https://www.zomato.com/dubai/khairat-lebanon-umm-suqeim/info","https://b.zmtcdn.com/data/pictures/8/20562128/0f8840d1c197d56f89d59d5fe2205915_featured_v2.jpg",
132,,,"Indian Access",4,"North Indian, Indian, BBQ","AED 75 for two","Dubai Hills Mall, Dubai","3.4 km","https://www.zomato.com/dubai/indian-access-dubai-hills/info","https://b.zmtcdn.com/data/pictures/6/20507566/6c85b16739e770d7b13ad4efcd187027_featured_v2.jpg",
133,,"Flat 15% OFF","Aziz Bhai Restaurant",4,"Indian, Biryani","AED 70 for two","Oud Metha, Dubai","14.5 km","https://www.zomato.com/dubai/aziz-bhai-restaurant-oud-metha/info","https://b.zmtcdn.com/data/pictures/5/20764955/addfdb21ddd13097f9fcff363cf8cca9_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
134,,"Flat 15% OFF","Golden Dragon Restaurant",4.3,"Asian, Thai, Chinese","AED 160 for two","Oud Metha, Dubai","14.5 km","https://www.zomato.com/dubai/golden-dragon-restaurant-oud-metha/info","https://b.zmtcdn.com/data/pictures/chains/1/207071/e28b0466074ab186942b5382015496e7_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
135,,"Flat 25% OFF","Society Room",4.5,"International, Finger Food, Beverages","AED 325 for two","Raffles Dubai, Umm Hurair 2, Dubai","14.5 km","https://www.zomato.com/dubai/society-room-umm-hurair/info","https://b.zmtcdn.com/data/pictures/6/20853706/34d0421f3bfaab8b966d180d574db986_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
136,,"Flat 20% OFF","Hyperama Diner",4,"African, Fast Food","AED 125 for two","Al Quoz, Dubai","2.7 km","https://www.zomato.com/dubai/hyperama-diner-al-quoz/info","https://b.zmtcdn.com/data/pictures/chains/4/19159104/e26c8411783ebbb272332c9e770b9eae_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
137,,"Flat 20% OFF","Chicken Tikka Inn",3.6,"Indian, Mughlai, Kebab, North Indian, Grill","AED 85 for two","Mankhool, Dubai","14.7 km","https://www.zomato.com/dubai/chicken-tikka-inn-mankhool/info","https://b.zmtcdn.com/data/pictures/9/200789/086ebf4fc06212e959577cba7ee222a6_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
138,,,"Cipriani",4.3,"Italian","AED 500 for two","Gate Village, DIFC, Dubai","11 km","https://www.zomato.com/dubai/cipriani-difc/info","https://b.zmtcdn.com/data/pictures/6/18254156/f5d877bbae53e3939cdf751672faee4d_featured_v2.jpg",
139,,"Flat 25% OFF","L'Antica Pizzeria Da Michele",4.1,"Italian, Pizza","AED 290 for two","Dubai Hills Mall, Dubai","3.3 km","https://www.zomato.com/dubai/lantica-pizzeria-da-michele-dubai-hills/info","https://b.zmtcdn.com/data/pictures/8/20518278/e8ed98422d3adf7c3d5d26b36279b6e8_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
140,,,"Hari Prasad Pure Vegetarian Restaurant",4.1,"Indian, North Indian, South Indian","AED 90 for two","Discovery Gardens, Dubai","13.2 km","https://www.zomato.com/dubai/hari-prasad-pure-vegetarian-restaurant-discovery-gardens/info","https://b.zmtcdn.com/data/pictures/4/18457484/c9d22667b920accf78399e1e7e71012c_featured_v2.jpeg",
141,,,"Nando's - Mall of the Emirates",4.3,"Portuguese, African, Beverages","AED 100 for two","Mall of the Emirates, Al Barsha, Dubai","3.1 km","https://www.zomato.com/dubai/nandos-mall-of-the-emirates-al-barsha/info","https://b.zmtcdn.com/data/pictures/chains/0/200130/acc28a4c6559b2ab964a53b399c36fea_featured_v2.jpg",
142,,"Flat 10% OFF","Bombay Sweets & Bakery",3.7,"North Indian, South Indian, Street Food, Desserts","AED 40 for two","Al Nahda, Dubai","22.9 km","https://www.zomato.com/dubai/bombay-sweets-bakery-al-nahda/info","https://b.zmtcdn.com/data/pictures/8/202098/738c7ad12b97c4dc56425425df9d484a_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
143,,"Flat 20% OFF","Code Eight Mixo Lounge",3.9,"International, Mediterranean, Middle Eastern, Beverages","AED 70 for two","Mercure Dubai Barsha Heights Hotel Suites, Dubai","6.2 km","https://www.zomato.com/dubai/code-eight-mixo-lounge-barsha-heights/info","https://b.zmtcdn.com/data/pictures/chains/2/20574242/7815b27de61714c69ff7dc36b1996aff_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
144,,,"Tayeb Kitchen Restaurant",4.2,"Indian, Hyderabadi, Mughlai","AED 65 for two","Al Khabaisi, Dubai","17.7 km","https://www.zomato.com/dubai/tayeb-kitchen-restaurant-al-khabaisi/info","https://b.zmtcdn.com/data/pictures/8/204758/1a9aedb64aa4bd36ffe17225e98c5728_featured_v2.jpg",
145,,,"Lazy Cat","New","Cafe, Beverages","AED 130 for two","Al Quoz, Dubai","5.5 km","https://www.zomato.com/dubai/lazy-cat-al-quoz/info","https://b.zmtcdn.com/data/pictures/8/21517678/12a974e6a9a4c3483adc4b523a090ba7_featured_v2.jpg",
146,,,"Cassano Cafe",3.9,"Cafe","AED 65 for two","Remraam, Dubai","13.9 km","https://www.zomato.com/dubai/cassano-cafe-remraam/info","https://b.zmtcdn.com/data/pictures/5/19948735/78004f265b14476bb0da79f2fd2dbef7_featured_v2.jpg",
147,,"Flat 20% OFF","Hanoi Naturally",4,"Asian, Vietnamese","AED 105 for two","Cluster C, Jumeirah Lake Towers, Dubai","11 km","https://www.zomato.com/hanoinaturallyJLTdubai/info","https://b.zmtcdn.com/data/pictures/chains/1/203481/cf0b592d803c5f0f4ef29e6d036a89a4_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
148,,"Flat 20% OFF","Barbecue Delights Express",3.8,"Pakistani, Indian, BBQ","AED 155 for two","Motor City, Dubai","9.1 km","https://www.zomato.com/dubai/barbecue-delights-express-motor-city/info","https://b.zmtcdn.com/data/pictures/chains/0/202580/23e9a239262499ba3d941a387adc7620_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
149,,,"Forever Rose Cafe",3.8,"Cafe, Tea, Coffee, Beverages","AED 235 for two","BOXPARK, Al Safa, Dubai","8.4 km","https://www.zomato.com/dubai/forever-rose-cafe-al-safa/info","https://b.zmtcdn.com/data/pictures/1/19540691/c7eacba86be77febe633b886e5a0901d_featured_v2.jpg",
150,,,"TJ's",4.5,"International, Beverages","AED 410 for two","Taj Jumeirah Lakes Towers, Dubai","9.1 km","https://www.zomato.com/dubai/tjs-jumeirah-lake-towers/info","https://b.zmtcdn.com/data/pictures/9/19273179/fd5ee6ad8377fb74aca6f68232086e45_featured_v2.jpg",
151,,"Flat 10% OFF","Bosporus",4,"Turkish","AED 310 for two","Dubai Hills Mall, Dubai","3.3 km","https://www.zomato.com/dubai/bosporus-dubai-hills/info","https://b.zmtcdn.com/data/pictures/chains/3/203363/2d6dcb5788ebd17efd521abd9de109b0_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
152,,"Flat 10% OFF","Kinara By Vikas Khanna - JA Lake View Hotel",4.1,"Indian, Asian, Healthy Food, Beverages","AED 280 for two","JA Lake View Hotel, Mina Jebel Ali, Dubai","26 km","https://www.zomato.com/dubai/kinara-by-vikas-khanna-ja-lake-view-hotel-jafza/info","https://b.zmtcdn.com/data/pictures/2/19210372/9f8f9d41a5c03aab6c5cb8db7edf1f42_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
153,,,"Moon Slice - The Pizza Space",4.4,"Pizza, Italian, Beverages","AED 230 for two","Dar Wasl Mall, Al Safa, Dubai","7.5 km","https://www.zomato.com/dubai/moon-slice-the-pizza-space-al-safa/info","https://b.zmtcdn.com/data/pictures/8/19648188/1a2898658a89de957a2c86190a93a38e_featured_v2.jpg",
154,,,"Shimmers - Jumeirah Mina Al Salam",4.1,"Greek, Mediterranean","AED 515 for two","Mina A' Salam, Madinat Jumeirah, Dubai","4.4 km","https://www.zomato.com/dubai/shimmers-jumeirah-mina-al-salam-madinat-jumeirah/info","https://b.zmtcdn.com/data/pictures/5/18263025/579c45a1ac47e7d4f33cd10f227c1bfe_featured_v2.jpg",
155,,"Flat 15% OFF","Buffalo Wild Wings",4.1,"American, Fast Food","AED 180 for two","Umm Suqeim, Dubai","5 km","https://www.zomato.com/dubai/buffalo-wild-wings-umm-suqeim/info","https://b.zmtcdn.com/data/pictures/chains/0/208950/df722cc6d38f9b03c591f7feabcb8555_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
